JAQIHB010000275.1	29693
JAQIHB010000259.1	29629
JAQIHB010000260.1	28846
JAQIHB010000261.1	28730
JAQIHB010000276.1	28400
JAQIHB010000262.1	28033
JAQIHB010000263.1	27095
JAQIHB010000264.1	26824
JAQIHB010000277.1	26596
JAQIHB010000265.1	26374
JAQIHB010000266.1	26287
JAQIHB010000278.1	26282
JAQIHB010000267.1	25938
JAQIHB010000268.1	25894
JAQIHB010000279.1	25640
JAQIHB010000269.1	24340
JAQIHB010000280.1	23186
JAQIHB010000270.1	22467
JAQIHB010000271.1	22311
JAQIHB010000281.1	21962
JAQIHB010000055.1	21358
JAQIHB010000282.1	16057
JAQIHB010000272.1	14639
JAQIHB010000045.1	4956352
JAQIHB010000059.1	2228489
JAQIHB010000060.1	2115927
JAQIHB010000061.1	2060080
JAQIHB010000062.1	1903574
JAQIHB010000063.1	1592456
JAQIHB010000064.1	1306673
JAQIHB010000065.1	1234076
JAQIHB010000066.1	1186437
JAQIHB010000067.1	1170172
JAQIHB010000068.1	1066317
JAQIHB010000069.1	982204
JAQIHB010000070.1	976125
JAQIHB010000071.1	928298
JAQIHB010000079.1	915362
JAQIHB010000072.1	890228
JAQIHB010000073.1	878407
JAQIHB010000074.1	807966
JAQIHB010000075.1	763647
JAQIHB010000049.1	761708
JAQIHB010000076.1	752069
