"Accession","class"
"GCA_024868665.1","Actinopteri"
"GCA_025169545.1","Actinopteri"
"GCA_025201925.1","Lepidosauria"
"GCA_025265405.1","Mammalia"
"GCA_025388735.1","Aves"
"GCA_025434085.3","Actinopteri"
"GCA_025583725.1","Aves"
"GCA_025594165.1","Mammalia"
"GCA_025617405.1","Actinopteri"
"GCA_025860055.1","Actinopteri"
"GCA_026122265.1","Actinopteri"
"GCA_026122505.1","Lepidosauria"
"GCA_026213295.1","Actinopteri"
"GCA_026259375.1","Actinopteri"
"GCA_026261665.1","Actinopteri"
"GCA_026413225.1","Aves"
"GCA_026413565.1","Aves"
"GCA_026419915.1","Aves"
"GCA_026419965.1","Mammalia"
"GCA_026652325.1","Amphibia"
"GCA_026686955.1","Actinopteri"
"GCA_026929865.2","Actinopteri"
"GCA_026937815.1","Actinopteri"
"GCA_026956025.1","Mammalia"
"GCA_026979565.1","Aves"
"GCA_027123335.1","Actinopteri"
"GCA_027172205.1","Lepidosauria"
"GCA_027244095.1","Lepidosauria"
"GCA_027358585.1","Actinopteri"
"GCA_027358695.2","Amphibia"
"GCA_027406575.1","Mammalia"
"GCA_027409185.1","Mammalia"
"GCA_027409825.1","Actinopteri"
"GCA_027422405.1","Actinopteri"
"GCA_027422415.1","Actinopteri"
"GCA_027422435.1","Actinopteri"
"GCA_027474115.1","Actinopteri"
"GCA_027474245.1","Aves"
"GCA_027475355.1","Actinopteri"
"GCA_027475565.2","Mammalia"
"GCA_027477595.1","Aves"
"GCA_027559615.1","Aves"
"GCA_027563665.1","Mammalia"
"GCA_027564155.1","Actinopteri"
"GCA_027574615.1","Mammalia"
"GCA_027574665.1","Aves"
"GCA_027579445.1","Aves"
"GCA_027579695.1","Actinopteri"
"GCA_027579735.1","Amphibia"
"GCA_027580175.1","Actinopteri"
"GCA_027580195.1","Mammalia"
"GCA_027580225.1","Actinopteri"
"GCA_027595985.1","Mammalia"
"GCA_027596085.2","Actinopteri"
"GCA_027704905.1","Actinopteri"
"GCA_027744805.2","Actinopteri"
"GCA_027744825.1","Actinopteri"
"GCA_027789765.1","Amphibia"
"GCA_027791375.2","Aves"
"GCA_027887145.1","Aves"
"GCA_027887155.1","Lepidosauria"
"GCA_027887165.1","Mammalia"
"GCA_027917425.1","Amphibia"
"GCA_027942865.1","Actinopteri"
